,GSM2648568,GSM2648569,GSM2648573,GSM2648575,GSM2648576,GSM2648580,GSM2648583,GSM2648585,GSM2648587,GSM2648590
MR1,1475.0005556107162,1513.9517671374242,1511.5371026692621,1509.1433938313141,1474.0088869214069,1485.1452867860157,1498.0565479804814,1497.2313346936241,1452.7761286181249,1482.3844214786334
RPS27A,1525.5300349981185,1538.953897167969,1527.9142729857426,1564.7053920879177,1580.176749450985,1568.575530229002,1546.2021476906102,1556.6434622792071,1558.0596125940408,1549.6525619975941
PTPRC,1485.210218238964,1504.8587126088246,1517.4959226021542,1472.5184053198116,1477.4764423966726,1460.151624062432,1481.2162291313516,1469.9734562840276,1447.5706291246029,1471.0800017055496
IPO9,1426.2876788389867,1429.978443581058,1432.2020970278013,1407.0930383905857,1369.7592788382453,1411.8213370278786,1441.7743213237611,1420.6812250014702,1417.3128085005392,1425.8568483179245
BTG2,1523.6655189751,1492.3206338030695,1499.3469891898183,1470.8649131570114,1565.3524327630892,1489.092374159955,1493.3346681172804,1552.287786635189,1570.146054796945,1530.425468366595
SRGAP2,1385.373735828738,1411.2837376250027,1406.5895773438215,1368.2040269865197,1515.4720264075568,1354.085032772948,1391.6707685211852,1391.417983669659,1374.3558121546278,1370.8552349691995
IKBKE,1403.6013649377642,1346.3749837532935,1354.7867296092068,1352.8257272395642,1431.082894012093,1391.3134358816746,1382.2929146492281,1426.701420313347,1467.385993460427,1392.3144725045452
CD46,1487.0788411254694,1498.5732226323992,1490.6209874820238,1511.4933818636848,1483.7511322447579,1511.1725477273676,1507.1543019710505,1504.2206746805373,1500.639096241825,1517.3679055270075
G0S2,1446.2251321130277,1371.7543802705366,1361.8331163327002,1377.3233241858813,1612.6008059566805,1411.2211391209994,1382.1556107858028,1427.6828846240828,1529.6755529542454,1395.226797598628
NENF,1384.7453857152536,1412.3845551715829,1419.5026358886525,1389.9699342270637,1385.6641216597257,1390.2046420263698,1378.4882245937092,1375.9376769888913,1372.9580138145386,1366.465945005975
SRP9,1476.81989613538,1481.3083456938818,1480.0355929734787,1490.026775899375,1475.2056416540233,1476.2270841742363,1492.4106131164274,1495.4066597616707,1493.4736701129334,1498.5595954856647
H3F3A,1669.3304910348083,1685.1131304976418,1685.2849000507608,1680.5759805311527,1664.1122731977955,1679.4453454056088,1674.9286387678587,1674.246704667701,1663.1666621415113,1681.0999719183433
ARF1,1730.6199527576925,1738.7049864733015,1737.142516350935,1751.6665461475168,1763.102364831058,1742.1297960490954,1748.9985809313441,1735.2384833196563,1740.5844480929875,1739.726937322625
GUK1,1404.472019996971,1404.2867603426307,1403.3869854727197,1382.0685450610476,1396.6844679475184,1370.605924497648,1388.2065920469615,1384.0316776435363,1374.674488292828,1362.9741657554853
RNF187,1397.5122553412978,1416.0461786671187,1414.7596781111852,1441.3625546502726,1366.276557116368,1434.1175271540312,1437.0414571514862,1410.8487868647687,1406.2056457609458,1419.7694319558568
RHOU,1383.6036776659166,1378.331867927437,1369.1426660137079,1368.0796723105943,1338.7063889011984,1329.9189322202844,1371.5998270695186,1326.9360522240036,1342.508166882306,1313.9914032203253
GNPAT,1351.2477536849638,1382.9243197095584,1374.2049245283883,1369.3515999054775,1333.0748857844098,1367.4531764947712,1359.751327479084,1367.0129222335693,1352.0674936321936,1372.6877553174031
TSNAX,1315.187165047996,1356.8184932820627,1348.4998459686121,1378.6861527180731,1245.801822658285,1363.1327086006304,1367.7827796662916,1359.244023076553,1315.9215500786602,1372.7849240587939
GPR137B,1389.6476117640277,1371.241670728294,1395.1812851377422,1352.5901800143824,1372.6891219336485,1343.4983073239137,1359.5588274625618,1344.8401787862492,1370.6698370797349,1343.977950528326
LGALS8,1352.400139579367,1370.829720949032,1367.413896241817,1365.8281260172691,1434.45255825923,1337.997404639797,1368.9749891124145,1351.743281323265,1315.6545733311204,1350.9438544269967
NLRP3,1375.83759881233,1355.4825696218609,1350.9975664009612,1371.925481196708,1367.9135466256255,1369.573693473289,1388.2450371287207,1390.5268633540536,1383.0175116534385,1368.0131177122064
MRPL20,1396.7839715496343,1401.539514560132,1407.3919368292704,1410.5480966412122,1419.738541546691,1408.3459313803019,1394.9770455524697,1405.7060233843863,1412.4492361939276,1410.76011048295
TNFRSF9,1521.4601332826744,1344.5707670994282,1291.6565102241275,1288.9381354428394,1708.5948745093258,1419.8618014706,1277.6150579470814,1382.3507317947447,1558.2483564012152,1346.2555310835762
SRM,1562.996950588425,1528.5571346856984,1524.5802365572977,1494.6691676599394,1514.4489941361267,1517.4438638978768,1524.4861686512431,1516.4061632358644,1539.2303662652662,1497.1403844318284
EXOSC10,1453.271140901924,1452.3334021515202,1449.0831381474309,1434.6841464205893,1444.502264763887,1436.8300388789692,1438.7810971010863,1438.964933228105,1438.5902534875916,1443.7044195359376
UQCRH,1465.9189114868502,1479.0463918310463,1491.093366359976,1476.1064558919898,1490.364994517064,1485.0058330582212,1468.608988391628,1479.6799603669108,1474.0604121489157,1482.8168908065138
EIF1AX,1400.1214826099276,1407.1368222098038,1393.9366694853984,1411.9397173254922,1451.2608957538482,1410.7139103659833,1412.7853566387487,1394.537589198483,1427.9946138196162,1408.165294515666
RCC2,1522.2185340732417,1472.4661624118878,1461.5416175981168,1455.8669440285971,1500.3995347751093,1488.9980378146824,1482.9956872013452,1485.7453276763526,1521.1957587188706,1475.0885544313803
UBR4,1300.9834407833612,1375.9383094762181,1362.858657722805,1360.661579983207,1406.1757808269338,1350.292574973651,1330.1947486226713,1368.7382187708795,1355.708471089289,1344.5780701494514
