,GSM2648567,GSM2648570,GSM2648571,GSM2648572,GSM2648574,GSM2648577,GSM2648578,GSM2648579,GSM2648581,GSM2648582,GSM2648584,GSM2648586,GSM2648588,GSM2648589
ATP6V0B,1469.9752126946153,1485.0294835372952,1490.737698719573,1504.0928315868207,1508.458200428508,1500.7608448037354,1499.182235033609,1494.2926801590506,1505.2553554594926,1499.2508656346704,1480.6852985674823,1496.9255964013198,1482.1399402305462,1456.2637105264516
RPS8,1693.7890622875973,1680.7443629673348,1683.7268576120969,1687.9728788813668,1693.278173233851,1700.0093526752692,1692.9759309659726,1692.598100312817,1688.3790245085315,1691.250068926778,1681.9898182244292,1691.7595746564746,1695.9718528626295,1684.3384715123004
SNORD46,1296.6061254997783,1371.3253420016308,1352.287017297011,1418.6028524440599,1358.3309577835068,1378.1019352265753,1404.2080681189045,1417.8822550274372,1387.5670114897393,1394.5320879265284,1422.2569630416938,1467.3056541252365,1398.5179015424642,1345.3124739111101
TMEM69,1344.3197326405748,1361.5491133074756,1383.408071961835,1383.3677288162237,1367.2122560899068,1345.3746811192914,1344.881690595671,1359.62913500709,1345.4676840673887,1346.8731697846524,1350.065746956457,1352.105294662586,1341.4394410130074,1366.9306668849579
OSBPL9,1416.8787807157369,1411.3305799988868,1388.7637572003637,1401.530615688622,1404.1910695089032,1380.7380575775423,1393.9860640333004,1367.4003242252054,1390.2864335199968,1380.6921692272253,1342.747758902824,1383.7608178668468,1394.9029026732946,1396.2003296161183
BTF3L4,1452.3759875378748,1460.4828061912033,1477.0239193450805,1458.57874165567,1443.6009988979397,1464.2949409041883,1462.7099716241805,1466.269573415906,1475.0306101548122,1469.6149427427858,1419.6140122894797,1429.8107865761792,1446.5232221342649,1467.3890416783736
GPX7,1356.827352033039,1375.5284932901857,1337.886524007652,1366.0913377047214,1387.1521271249096,1340.831945716658,1334.5857267421534,1321.7229191644972,1354.7187675711225,1348.8480795316316,1281.4022716436052,1327.233117489134,1322.2022183617814,1336.024765091119
MRPL37,1548.4700592374145,1553.2382774121515,1549.8962234173719,1549.179430517354,1561.4095473072875,1542.7653373733199,1544.6320134449318,1535.881025657301,1555.319737653255,1547.269081488492,1526.8825918302896,1548.6711793588604,1553.2239509863477,1547.4320507420114
SRSF11,1491.9571136067877,1498.4850440792882,1498.900369791207,1497.8777701163017,1499.7260511829181,1488.4270702808153,1479.3577422615283,1483.1763799254352,1491.1451983019963,1482.9065027473207,1508.5484108183125,1504.6260119011888,1496.0694068629439,1498.5801908338915
ACADM,1398.5477391570578,1405.6474265790848,1367.9300186289495,1385.4024215595482,1421.0763348477194,1447.0126320405666,1451.9230349939976,1418.8430238964697,1452.6857756503,1455.4271845729206,1382.0733802098748,1398.2272658294833,1419.4772180804744,1421.7604085525863
RPL17,1528.658939562454,1538.2274139829276,1528.9668232060758,1525.3399564155989,1526.5111368873743,1535.3213649314691,1541.0090764742629,1533.611975775118,1538.001672220227,1535.387976435177,1531.9084633023558,1531.9512193655694,1530.3454086550735,1521.1961339318284
LPHN2,1409.301603025999,1413.3951898174994,1353.6363930572873,1388.637377496915,1402.9808627781347,1416.122195206641,1430.572951437281,1394.3440991325003,1400.7547756254328,1412.2896339178087,1392.5076011910269,1395.8830636805228,1402.8813984710068,1383.8491872600493
SH3GLB1,1382.9891031810043,1385.7351684876376,1361.387719077429,1368.691085860401,1367.685773485358,1411.2105392615224,1410.1234849806178,1402.5031391593059,1415.937419343783,1418.6980646342809,1402.0241500473867,1380.4121539530029,1381.6533903219395,1383.9025428816583
HIAT1,1559.0389133418203,1564.4868412514893,1571.5909167477228,1556.008325219529,1564.7890701847055,1575.1759836251867,1560.3436881267694,1569.8990575846644,1577.8938059264995,1573.209721534288,1618.8713113741753,1578.7212126505501,1570.691647456184,1571.2450750939981
RTCD1,1484.5909840928894,1479.008161267893,1445.4337126663786,1445.1511397131906,1454.39681132162,1458.7536205011443,1456.6553684833682,1443.1770507410736,1466.7222505249895,1473.8340309092498,1416.7701917768156,1432.0849099973575,1439.5249023666843,1472.8313150824988
RPL17,1608.6681252890405,1617.7436431972549,1611.1278725108962,1615.4734195362232,1617.262920530257,1619.4560097889225,1626.5813466929571,1618.0887710284385,1618.4968372131855,1617.6404165740776,1615.7289378613914,1622.0628446449934,1615.2642956291754,1603.123006866125
SARS,1343.6339631133646,1366.8457684833822,1364.3261713356287,1374.343832245492,1382.466349363488,1391.7865517210525,1391.1941510231354,1382.83531459494,1402.0933370964224,1382.1571872326513,1342.5384966386848,1367.0730116427735,1375.903938195547,1363.4776005018475
GSTM4,1399.9688882372277,1400.4256614277663,1361.4943134761545,1378.285792530034,1392.4649621153128,1329.6147670600162,1328.3759718372864,1311.633210688389,1330.2397393899794,1317.5715820074138,1214.0106045948598,1302.7191662829941,1296.5529994228173,1314.8242508679705
GSTM1,1519.603054199135,1511.5545171087817,1469.2288622895642,1485.4188737425297,1493.1673344334024,1424.878765357963,1454.5716680109722,1440.6572469980363,1446.6602023007686,1447.8511044964443,1382.1518019656667,1441.7969972123954,1410.8557816420189,1432.1907485307286
AHCYL1,1523.3978100361553,1520.2880356982582,1511.3527821141142,1501.071621149763,1528.677708801074,1554.4134469116873,1558.3814345057442,1558.4597754759277,1559.1348425185834,1561.1144564932158,1544.202793298081,1532.3263466731112,1538.533648414478,1559.2646859034694
CD53,1697.7866436442562,1705.1171640223367,1683.728224206952,1692.2286065990547,1707.3478555663899,1713.1503543015162,1709.212965622841,1702.5314964637084,1717.2351896344126,1719.3213962393113,1703.4594936478052,1713.8247552590606,1718.0141610982676,1715.333983388585
CEPT1,1381.4500960286123,1366.972273753435,1350.1182312614037,1343.594075731829,1365.5607767008446,1366.8909029691972,1369.425144057758,1342.1777565258367,1364.0706866433636,1375.9697368857126,1326.8885409872332,1363.321326339545,1347.9402700374626,1366.5370665686262
RAP1A,1384.9323909299733,1387.6437003756655,1362.2217519177134,1361.5533563135486,1394.167758660532,1395.0359481319083,1404.3881915389154,1392.7441804768346,1410.8083137684007,1403.0562010698309,1358.2335791952237,1384.8793293259637,1381.987883960194,1400.270405879887
HIPK1,1476.1024620074782,1461.0961650763086,1455.2868615742102,1455.6438515168138,1456.400101374819,1455.033000146722,1447.4622512060068,1446.596297680652,1453.6504677603814,1450.3323593864532,1434.6544795581976,1450.9608214394875,1452.3905695593867,1463.1889965927367
ATP1A1,1618.876552963278,1618.2748558031049,1626.607292438637,1611.6068182421745,1623.4991899081963,1630.5591385925563,1630.9043087732125,1630.6441803765197,1631.103330006736,1640.885641742107,1642.4212270564517,1630.887267974786,1627.910622731219,1622.6634772108007
PHGDH,1207.3572780437678,1195.7734037252321,1145.0207686305762,1188.4669087192144,1189.462936690825,1552.4561602127565,1555.4980952142103,1540.7502840531217,1549.1004071896764,1546.1641796408244,1452.4672246851726,1441.765393080258,1464.8792459712693,1458.5032785411709
SRGAP2,1583.9261527785443,1556.0654785231827,1540.1250702008674,1542.4300052960627,1559.0522512035914,1530.1269746202106,1530.429554691365,1524.5126087701103,1531.4862481387026,1531.1825290322645,1639.67921724429,1545.9312385118335,1556.8828178736492,1552.2190076653485
NBPF10,1651.1066243879957,1640.7528160166214,1661.4349623299117,1642.4560486232888,1618.4017772043362,1649.7222456309355,1646.5764108855026,1661.8548592964967,1644.2337857002462,1637.476814930599,1689.6036076376276,1649.2588873954219,1657.773776074408,1654.0584722027222
NBPF16,1375.784685905737,1360.8082907790597,1392.9783357345873,1370.352546076263,1339.6383406240916,1372.2369044622988,1355.2569360454206,1378.966346057091,1359.565833741761,1355.1975821495614,1404.266737098979,1372.599749897952,1386.9340030045487,1380.3578142768097
TXNIP,1712.4229716830343,1698.8357118686265,1666.3943350603588,1685.4216345122957,1713.1601409536177,1673.220612950128,1672.2822062352038,1659.4985906801032,1674.039633582303,1673.192426137366,1681.5770721413141,1685.6709698956042,1685.0679086057567,1683.8185962248274
PEX11B,1468.4704666097296,1486.4122792380902,1447.4836049495614,1472.714718108788,1486.544128209571,1443.5351359236947,1436.8008551412856,1423.8213057100527,1434.7045696720108,1443.1013906278288,1391.639458596208,1444.8419866391812,1440.9656925871986,1448.6119671505662
NBPF11,1666.492584583816,1655.4775365731064,1680.8324097082425,1658.4773700022083,1632.5167393805432,1662.5327075634343,1661.9715050109578,1691.524219647856,1670.292753052907,1652.2279366351395,1690.1800763337121,1666.4377943510533,1671.9280662997305,1660.9522921331863
PDIA3P,1602.9670836559583,1599.8165868544734,1591.6470628463828,1577.7007531739507,1590.1759692013463,1591.1074505172505,1589.047446762557,1586.1926073692791,1599.7665280263607,1590.5103019465948,1580.3813633034054,1572.53092502976,1560.9269007951698,1580.1773533885012
VOPP1,1309.7958142241616,1312.2247906601197,1404.7775157165875,1380.3054134752601,1323.5978873988058,1342.523844554038,1340.306009898855,1386.24911036363,1334.2840780240397,1341.1690116903417,1431.1832849991986,1360.697496325805,1373.976487148883,1338.1487292590186
