,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
DGKZ,9.970201,9.904459,10.03865,9.987758,9.783616,10.08756,10.16664,10.16775,9.956409,8.795919,10.09579,10.13952,9.861368,9.924966,9.965737,9.979619,10.08017,9.029536,10.06178,10.34221,9.773718,10.05469,10.07891,9.996626
ITM2B,11.82666,11.72848,11.81136,11.86089,11.73643,11.69511,11.99121,11.65721,11.72856,11.67709,11.81196,11.90277,11.79292,11.72822,11.96306,11.85032,11.61706,11.57739,11.76546,11.73236,11.68093,11.64429,11.90065,11.72878
RB1,10.73594,10.60933,10.73274,10.71741,10.59412,10.59209,10.68713,10.69993,10.56879,10.44909,10.59259,10.62518,10.46561,10.56416,10.68171,10.61095,10.45842,10.36681,10.54793,10.40884,10.42324,10.44631,10.64336,10.73236
TM9SF2,11.99707,11.77688,11.9422,11.98501,11.93249,11.87115,12.06853,11.87081,11.96159,11.84887,12.06255,12.05772,11.99652,12.0667,12.14176,12.05914,11.84007,11.86299,11.93202,11.7359,11.84565,11.79993,11.93596,11.94446
LAMP1,11.19912,11.1384,11.23269,11.17071,11.10238,11.16601,11.19312,11.16907,11.25014,11.16225,11.24507,11.25043,11.31179,11.28357,11.24181,11.27613,11.14634,11.03744,11.0628,11.17734,11.05752,11.13304,11.13308,11.08927
TFDP1,11.41121,11.3681,11.42245,11.26796,11.44767,11.32419,11.37028,11.34176,11.2605,10.81252,11.32426,11.33453,11.4009,11.34819,11.28503,11.38824,11.3973,11.13983,11.40942,11.37922,11.44747,11.31502,11.44778,11.39189
HSPH1,10.75719,10.63951,10.73893,10.72153,10.8455,10.76375,10.74931,10.67126,10.98042,10.90821,11.01822,10.92915,10.9852,10.9064,10.99455,10.90653,10.82982,11.06327,10.95929,10.73311,11.02458,10.82127,10.93865,10.859
PCNP,9.804445,10.05328,9.943753,10.00462,10.05747,9.989433,10.07979,10.0476,9.975242,9.882908,10.16887,10.2446,10.07576,10.01358,10.26256,10.19693,10.01776,9.9034,10.07611,9.835113,10.03514,9.993871,10.10137,9.985728
LPAR6,10.37687,10.35958,10.3856,10.50842,10.29277,10.38243,10.4573,10.40706,10.26747,9.791391,10.33326,10.56328,10.23647,10.35639,10.35383,10.327,10.49059,10.16381,10.37998,10.50835,10.189,10.42138,10.61479,10.63041
RCC1,10.12853,9.802565,10.12818,10.1192,9.558127,9.851544,10.00259,9.916093,10.27077,9.049573,10.01402,9.998983,9.846281,9.994219,10.07141,10.15244,10.33437,9.447712,10.23536,10.21517,9.729227,10.27878,10.34639,10.43108
