,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
RPL21,10.69693,10.67913,10.66277,10.74244,10.73875,10.68649,10.82545,10.73151,10.56313,10.67307,10.79316,10.74826,10.74395,10.71476,10.78136,10.72015,10.4692,10.60727,10.63352,10.58071,10.57228,10.35374,10.49586,10.58544
LITAF,11.27711,11.41313,11.32348,11.27773,11.5644,11.30517,11.28163,11.27192,11.19873,11.81124,11.33736,11.24079,11.42886,11.23925,11.17977,11.23672,11.11737,11.66362,11.26035,11.18045,11.39639,11.28315,11.29131,11.13835
RSL1D1,10.82807,10.91021,10.73891,10.84757,11.02355,10.8295,10.8208,10.83101,10.9603,10.88181,11.01943,11.02683,11.06948,11.03834,11.0966,11.00977,10.85611,10.87228,10.86584,10.56015,11.03787,10.82273,10.96481,10.90824
GSPT1,10.43437,10.74673,10.55118,10.59787,10.86178,10.73643,10.54811,10.6091,10.76185,11.00064,10.93181,10.93464,10.95381,10.79565,10.92278,10.91382,10.57115,10.9558,10.6593,10.6199,10.97685,10.68309,10.67337,10.66252
CPPED1,10.25666,10.09593,10.18421,10.17369,10.127,9.991494,10.20006,10.15386,10.35065,9.613428,10.30498,10.31424,10.1514,10.24231,10.30865,10.30943,10.13966,9.509833,10.06611,10.02749,9.924897,9.981169,10.19549,9.993009
LYRM2,11.04945,11.08539,11.131,11.17921,11.10313,11.12989,11.07432,11.1504,11.25992,10.95808,11.1308,11.22141,11.20665,11.32753,11.28608,11.21986,11.36671,10.85744,11.25668,10.95612,11.20248,11.15019,11.10257,11.09166
NOMO3,12.42661,12.28114,12.41603,12.39754,12.35811,12.39071,12.39411,12.39823,12.48353,12.40072,12.46034,12.468,12.41813,12.40234,12.43921,12.44524,12.46727,12.39241,12.4222,12.32727,12.44339,12.42738,12.42272,12.4896
RPS15A,12.29979,12.27264,12.23934,12.31516,12.2894,12.31028,12.29564,12.32117,12.3399,12.28308,12.38581,12.36631,12.34951,12.32936,12.37979,12.32893,12.22165,12.30533,12.29211,12.32032,12.23685,12.24143,12.14827,12.29801
ARL6IP1,12.44871,12.47598,12.51344,12.48351,12.37383,12.52331,12.35042,12.62879,12.52218,12.33596,12.49345,12.45748,12.40145,12.50154,12.50586,12.51293,12.46248,12.25768,12.40228,12.33735,12.33729,12.37946,12.32541,12.49214
NPIPL3,11.52653,11.29864,11.41951,11.33666,11.5296,11.43033,11.2739,11.30255,11.33418,11.27451,11.37189,11.29547,11.23824,11.29868,11.26371,11.25891,11.37648,11.57993,11.47447,11.51241,11.5061,11.50565,11.61223,11.56149
NPIPL3,11.57995,11.35607,11.48902,11.38476,11.57864,11.48675,11.33372,11.35131,11.38859,11.33546,11.43334,11.33634,11.30075,11.37066,11.3378,11.31821,11.45452,11.64298,11.53088,11.56792,11.56441,11.54284,11.64486,11.61388
GGA2,10.06106,9.864494,10.04071,9.9091,9.665374,9.824704,10.06001,10.03151,9.886504,8.815315,9.93319,9.941511,9.71656,9.83906,9.935595,9.921576,9.796807,9.07935,9.790071,9.856449,9.6179,9.77078,9.884916,9.879578
HMGN2,11.23623,11.36671,11.07886,11.46134,11.08373,11.29016,11.2098,11.59526,10.92713,10.83793,11.08303,11.14091,11.01187,11.1424,11.36783,11.28735,11.306,11.13794,11.13742,11.15252,10.99665,11.27305,11.02149,11.54397
XPO6,11.06957,11.2058,11.08579,11.13441,11.28348,11.18743,11.10602,11.07018,11.08667,11.27382,11.05261,11.02344,11.18122,11.09352,11.12129,11.16087,11.09288,11.47452,11.20668,11.20143,11.34949,11.19988,11.17497,11.12685
EIF3C,11.55167,11.58502,11.56534,11.52928,11.60903,11.55912,11.48386,11.58999,11.70935,11.64509,11.68115,11.61709,11.67362,11.69012,11.65913,11.60667,11.5865,11.67035,11.52863,11.5157,11.67268,11.60356,11.54807,11.47086
CDIPT,10.10311,10.32276,10.16815,10.27448,10.10475,10.27593,10.17876,10.34056,10.21116,9.83006,10.19465,10.19466,10.07131,10.18921,10.28186,10.19471,10.31161,9.809675,10.1441,10.23137,9.92611,10.20175,10.02324,10.19124
VKORC1,11.40267,11.37228,11.34747,11.35484,11.23731,11.36295,11.39705,11.45045,11.33321,11.03609,11.30481,11.32955,11.27273,11.27999,11.3888,11.38977,11.3518,11.013,11.29139,11.40491,11.16311,11.24962,11.34524,11.26931
PYCARD,10.34497,10.52741,10.47712,10.45351,10.02007,10.37534,10.52255,10.44833,10.48745,9.216017,10.4844,10.55162,10.43581,10.47214,10.53772,10.48612,10.56231,9.475419,10.33433,10.52597,10.05485,10.5515,10.33216,10.31765
CSNK2A2,10.86315,10.88462,10.77962,10.85326,10.88314,10.88305,10.81589,10.88728,10.93802,10.91451,11.00299,10.94897,10.99226,10.97624,10.97601,11.03092,10.83342,10.93443,10.85673,10.97168,10.9283,10.82874,10.96725,10.79469
CNOT1,11.79751,11.57269,11.7505,11.6517,11.6731,11.63187,11.71989,11.6256,11.68205,11.52455,11.68423,11.69358,11.65823,11.68152,11.67846,11.69767,11.67591,11.61347,11.71206,11.63648,11.69304,11.67103,11.74872,11.71426
RPS27A,10.7627,10.64766,10.76969,10.81957,10.90535,10.74873,10.84998,10.73954,10.89814,11.04344,11.01393,11.0483,11.05219,11.09189,11.06175,11.09536,10.74198,10.97328,10.97451,10.94321,10.95413,10.74566,10.78499,10.96298
FAM96B,10.30552,10.49608,10.28101,10.26104,10.3821,10.34614,10.31167,10.31953,10.54815,10.38799,10.39288,10.39503,10.4048,10.36047,10.36526,10.35151,10.32778,10.37398,10.31446,10.4834,10.41501,10.35222,10.41687,10.27268
P,10.42662,10.69491,10.57313,10.58426,10.68599,10.77944,10.59795,10.68906,10.61196,10.32027,10.74076,10.6398,10.82932,10.69861,10.53929,10.58586,10.48394,10.41162,10.63684,10.59285,10.79087,10.63886,10.49492,10.47633
AARS,10.26619,10.19747,10.20711,10.23177,10.16975,10.1866,10.16696,10.13946,10.37238,9.681669,10.37167,10.43548,10.33257,10.3996,10.36511,10.43486,10.37162,9.849687,10.20713,10.28623,10.2528,10.32364,10.21836,10.25248
AP1G1,11.16528,10.904,11.02076,11.1305,10.94878,10.9158,11.02981,10.94669,11.10134,11.10418,11.15372,11.09154,11.05465,11.1078,11.1488,11.14982,11.10303,10.97457,11.07611,10.81446,10.96137,10.99647,11.06075,11.12867
GLG1,10.36329,10.05305,10.37342,10.26022,10.16989,10.21533,10.34375,10.22784,10.32404,9.84952,10.28452,10.27513,10.20781,10.28735,10.24935,10.26072,10.34538,9.92375,10.27723,10.21827,10.17927,10.21299,10.24394,10.23338
RFWD3,10.34776,9.998889,10.24486,10.15611,10.22682,10.01256,10.21856,9.996483,10.18131,9.599453,10.03878,10.02273,10.0413,10.04967,10.09578,10.13873,10.14476,9.763984,10.19864,10.01859,10.15502,10.19895,10.33895,10.11777
KARS,9.977251,10.11892,9.895569,9.943555,10.02693,9.991178,9.823675,9.946445,10.05264,10.77863,10.09944,10.08098,10.1593,10.12852,10.02227,10.1184,10.07382,10.52551,10.00411,10.04863,10.16299,10.08198,10.01943,10.0841
CYBA,9.950182,10.15895,10.1321,10.08693,10.15204,10.10893,10.10998,10.10722,9.854263,9.846906,9.997248,9.987746,10.10521,9.990963,10.07427,9.96267,9.841408,9.806663,9.93082,10.06695,9.769758,9.967533,9.836203,9.801945
FAM38A,10.30658,10.31559,10.40172,10.32144,10.40429,10.46179,10.42359,10.4225,10.22185,10.15866,10.21947,10.26522,10.1932,10.17196,10.09457,10.18016,10.25299,10.20301,10.26822,10.42128,10.25187,10.27359,10.15695,10.0785
